Category,SubCategory,CatID,CatShort,Synonyms - Comma Separated,Category_zh,SubCategory_zh,Synonyms_zh,Category_tw,SubCategory_tw,Synonyms_tw,Category_ja,SubCategory_ja,Synonyms_ja
CUSTOM,CreatorID,CSTMCreid,CSTM,"ALFX,AYCEA,ASD,auep,AUDSHD,aXL,BSB,Bonson,B00M,CSND,ColTrans,DSD,DRCA,ETS,Fsnd,F0X,F&T,GaWa,GOOD,HZBIT,IvanR,IXS,JSB,KAIB,KDRa,LARX,LS,LukT,MSS,MSFX,MIND,NL3,NWSS,ONEStudio,PPA,PSE,RACS,SWVS,SMAFX,SONSAL,SDMND,SSPRK,SOI,SovekSFX,SSI,SSLAB,SYSO,TATAK,TXSND,TREX,USO,VRSC,WTSC,HRTP,ASMZ,EA,RPSND,TSoS,SRS,xeno,NFSFX,SIDEA,HEDGE,SDOGS,CARMA,SA,TimM,SOSH,Echoto,SPAudio,NON,RBA,ODD,mdwELAK,mdwELAK,GIOCO,RMY,2496,ESV,AnKa,NWKRL,CMAC,SOSH,BARE,GOTHIC,AT,FS,NIMJ",自定义,发行商,"ALFX,AYCEA,ASD,auep,AUDSHD,aXL,BSB,Bonson,B00M,CSND,ColTrans,DSD,DRCA,ETS,Fsnd,F0X,F&T,GaWa,GOOD,HZBIT,IvanR,IXS,JSB,KAIB,KDRa,LARX,LS,LukT,MSS,MSFX,MIND,NL3,NWSS,ONEStudio,PPA,PSE,RACS,SWVS,SMAFX,SONSAL,SDMND,SSPRK,SOI,SovekSFX,SSI,SSLAB,SYSO,TATAK,TXSND,TREX,USO,VRSC,WTSC,HRTP,ASMZ,EA,RPSND,TSoS,SRS,xeno,NFSFX,SIDEA,HEDGE,SDOGS,CARMA,SA,TimM,SOSH,Echoto,SPAudio,NON,RBA,ODD,mdwELAK,mdwELAK,GIOCO,RMY,2496,ESV,AnKa,NWKRL,CMAC,SOSH,BARE,GOTHIC,AT,FS,NIMJ",自訂,發行商,"ALFX,AYCEA,ASD,auep,AUDSHD,aXL,BSB,Bonson,B00M,CSND,ColTrans,DSD,DRCA,ETS,Fsnd,F0X,F&T,GaWa,GOOD,HZBIT,IvanR,IXS,JSB,KAIB,KDRa,LARX,LS,LukT,MSS,MSFX,MIND,NL3,NWSS,ONEStudio,PPA,PSE,RACS,SWVS,SMAFX,SONSAL,SDMND,SSPRK,SOI,SovekSFX,SSI,SSLAB,SYSO,TATAK,TXSND,TREX,USO,VRSC,WTSC,HRTP,ASMZ,EA,RPSND,TSoS,SRS,xeno,NFSFX,SIDEA,HEDGE,SDOGS,CARMA,SA,TimM,SOSH,Echoto,SPAudio,NON,RBA,ODD,mdwELAK,mdwELAK,GIOCO,RMY,2496,ESV,AnKa,NWKRL,CMAC,SOSH,BARE,GOTHIC,AT,FS,NIMJ",カスタマイズ,クリエイターID,"ALFX,AYCEA,ASD,auep,AUDSHD,aXL,BSB,Bonson,B00M,CSND,ColTrans,DSD,DRCA,ETS,Fsnd,F0X,F&T,GaWa,GOOD,HZBIT,IvanR,IXS,JSB,KAIB,KDRa,LARX,LS,LukT,MSS,MSFX,MIND,NL3,NWSS,ONEStudio,PPA,PSE,RACS,SWVS,SMAFX,SONSAL,SDMND,SSPRK,SOI,SovekSFX,SSI,SSLAB,SYSO,TATAK,TXSND,TREX,USO,VRSC,WTSC,HRTP,ASMZ,EA,RPSND,TSoS,SRS,xeno,NFSFX,SIDEA,HEDGE,SDOGS,CARMA,SA,TimM,SOSH,Echoto,SPAudio,NON,RBA,ODD,mdwELAK,mdwELAK,GIOCO,RMY,2496,ESV,AnKa,NWKRL,CMAC,SOSH,BARE,GOTHIC,AT,FS,NIMJ"
CUSTOM,SourceID,CSTMSouid,CSTM,"aXL_UPB,aXL_UrbanAir,aXL_SmartNotif,PSE_DET,PSE_DRS,PSE_EMB",自定义,项目ID,"aXL_UPB,aXL_UrbanAir,aXL_SmartNotif,PSE_DET,PSE_DRS,PSE_EMB",自訂,項目ID,"aXL_UPB,aXL_UrbanAir,aXL_SmartNotif,PSE_DET,PSE_DRS,PSE_EMB",カスタマイズ,ソースID,"aXL_UPB,aXL_UrbanAir,aXL_SmartNotif,PSE_DET,PSE_DRS,PSE_EMB"
CUSTOM,UserCategory,CSTMUcat,CSTM,"INT,EXT,UZI",自定义,用户分类,"INT,EXT,UZI",自訂,用戶分類,"INT,EXT,UZI",カスタマイズ,ユーザーカテゴリ,"INT,EXT,UZI"
CUSTOM,VendorCategory,CSTMVcat,CSTM,"TYX 9mm-,TYX 10mm-,TYX 11mm-",自定义,特定分类,"TYX 9mm-,TYX 10mm-,TYX 11mm-",自訂,特定分類,"TYX 9mm-,TYX 10mm-,TYX 11mm-",カスタマイズ,ベンダーの分類,"TYX 9mm-,TYX 10mm-,TYX 11mm-"
CUSTOM,UserData,CSTMUdata,CSTM,"a,b,c",自定义,用户数据,"甲,乙,丙",自訂,用戶數據,"庚,辛,壬",カスタマイズ,ユーザデータ,"A,B,C"
CUSTOM,Tags,CSTMTags,CSTM,"d,e,f",自定义,标签,"丁,戊,己",自訂,標簽,"癸,甲,乙",カスタマイズ,タグ,"D,E,F"
